sup7_headword	in_mw72	in_mw99	mw99_annexure	class
pAyalisaMGa	N	Y	N	added-since-mw72
pESunika	N	Y	N	added-since-mw72
pElottika	N	N	N	never-seen
pEnya	N	Y	N	added-since-mw72
pEtudrava	N	Y	N	added-since-mw72
pIWAy	N	N	N	never-seen
pIWa	Y	Y	N	kept
pIlupati	N	Y	N	added-since-mw72
pInAMsa	N	Y	N	added-since-mw72
pIpAsAvant	N	N	N	never-seen
pIq	Y	Y	N	kept
pItaSeza	N	Y	N	added-since-mw72
pIyUzaDAman	N	Y	N	added-since-mw72
pIyUzamayUKa	N	Y	N	added-since-mw72
pORaki	N	Y	N	added-since-mw72
pORqarIka	Y	Y	N	kept
pORqra	Y	Y	N	kept
pOdgalika	N	Y	N	added-since-mw72
pOlomIpati	N	Y	N	added-since-mw72
pOnarvAcanika	N	Y	N	added-since-mw72
pOrava	Y	Y	N	kept
pOroqASIya	N	N	N	never-seen
pOrvapadika	Y	Y	N	kept
pOsya	N	N	N	never-seen
pU	Y	Y	N	kept
pUjita	Y	Y	N	kept
pUlaka	N	N	N	never-seen
pUrRAmftAMSu	N	N	N	never-seen
pUrRa	Y	Y	N	kept
pUrRabanDura	N	Y	N	added-since-mw72
pUrRacAttra	N	Y	N	added-since-mw72
pUrRadarva	N	Y	N	added-since-mw72
pUrRamukta	N	Y	N	added-since-mw72
pUrRaraTa	N	Y	N	added-since-mw72
pUrRaviMSativarza	N	Y	N	added-since-mw72
pUraRadvitIyA	N	N	N	never-seen
pUrdvAra	N	Y	N	added-since-mw72
pUrowi	N	N	N	never-seen
pUrvAnta	N	Y	N	added-since-mw72
pUrvaBava	N	Y	N	added-since-mw72
pUrvaBikzikA	N	Y	N	added-since-mw72
pUrvaMgama	N	Y	N	added-since-mw72
pUrvakArin	N	Y	N	added-since-mw72
pUrvakarmakftavAdin	N	Y	N	added-since-mw72
pUrvanivAsa	N	Y	N	added-since-mw72
pUrvapreta	N	Y	N	added-since-mw72
pUrvayoga	N	Y	N	added-since-mw72
pUrvopakrama	N	Y	N	added-since-mw72
pUrvopasfta	N	Y	N	added-since-mw72
pUt	Y	Y	N	kept
pUtara	N	Y	N	added-since-mw72
pUti	Y	Y	N	kept
pUtiSaParI	N	Y	N	added-since-mw72
pUtirajju	N	Y	N	added-since-mw72
pUtkfta	N	N	N	never-seen
pUyaBuj	N	Y	N	added-since-mw72
pa	Y	Y	N	kept
paMsaka	N	Y	N	added-since-mw72
paMsana	N	Y	N	added-since-mw72
paNgUyita	N	Y	N	added-since-mw72
paNgu	Y	Y	N	kept
paNguvAsara	N	Y	N	added-since-mw72
paNkajAta	N	Y	N	added-since-mw72
paNkaja	N	Y	N	added-since-mw72
paNkajanayanA	N	Y	N	added-since-mw72
paNkapezam	N	N	N	never-seen
paNkay	N	N	N	never-seen
paNkeruhAkzI	N	Y	N	added-since-mw72
paNktiSas	N	Y	N	added-since-mw72
paNktikawa	N	Y	N	added-since-mw72
paRAy	N	N	N	never-seen
paRasundarI	N	Y	N	added-since-mw72
paRitaka	N	N	N	never-seen
paRqAlu	N	Y	N	added-since-mw72
paRqaka	Y	Y	N	kept
paRqitaSrIvara	N	Y	N	added-since-mw72
paRyahoma	N	Y	N	added-since-mw72
paRyavITI	N	Y	N	added-since-mw72
paRyavikraya	N	Y	N	added-since-mw72
paScAccara	N	Y	N	added-since-mw72
paScAja	N	Y	N	added-since-mw72
paScAlloka	N	Y	N	added-since-mw72
paScAt	N	Y	N	added-since-mw72
paScAtpuroqASa	N	Y	N	added-since-mw72
paScimAcala	N	Y	N	added-since-mw72
paScimadarSana	N	Y	N	added-since-mw72
paScimadvAra	N	Y	N	added-since-mw72
paSu	Y	Y	N	kept
paSudAvan	N	Y	N	added-since-mw72
paSujanana	N	Y	N	added-since-mw72
paSumata	N	Y	N	added-since-mw72
paSupAlana	N	Y	N	added-since-mw72
paSuvat	N	Y	N	added-since-mw72
paSuvrata	N	Y	N	added-since-mw72
paTaka	Y	Y	N	kept
paTasundara	N	Y	N	added-since-mw72
paTikAy	N	N	N	never-seen
paYcAkza	N	Y	N	added-since-mw72
paYcArzeya	N	Y	N	added-since-mw72
paYcAvatta	N	Y	N	added-since-mw72
paYcabadDa	N	Y	N	added-since-mw72
paYcabanDa	N	Y	N	added-since-mw72
paYcacUqaka	N	N	N	never-seen
paYcagaRqaka	N	Y	N	added-since-mw72
paYcagatisamatikrAnta	N	Y	N	added-since-mw72
paYcagfhItin	N	N	N	never-seen
paYcaguRa	N	Y	N	added-since-mw72
paYcakUrca	N	Y	N	added-since-mw72
paYcaka	Y	Y	N	kept
paYcakalpa	N	Y	N	added-since-mw72
paYcamahAkalpa	N	Y	N	added-since-mw72
paYcaparvan	N	Y	N	added-since-mw72
paYcarAtra	N	Y	N	added-since-mw72
paYcarAtrika	N	Y	N	added-since-mw72
paYcarasA	N	Y	N	added-since-mw72
paYcasAra	N	Y	N	added-since-mw72
paYcavArzika	N	Y	N	added-since-mw72
paYcavali	N	Y	N	added-since-mw72
paYcavarzikamaha	N	Y	N	added-since-mw72
paYcaviMSatisAhasrikA	N	Y	N	added-since-mw72
paYcayAma	N	Y	N	added-since-mw72
paYcayojanI	N	Y	N	added-since-mw72
paYcopacAraka	N	Y	N	added-since-mw72
paYjaraka	Y	Y	N	kept
pac	Y	Y	N	kept
pacamAnaka	N	Y	N	added-since-mw72
pacanAgAra	N	Y	N	added-since-mw72
pacanAgni	N	Y	N	added-since-mw72
pacanika	Y	N	N	dropped
pad	Y	Y	N	kept
padABihoma	N	Y	N	added-since-mw72
padDati	Y	Y	N	kept
pada	Y	Y	N	kept
padaGAtam	N	Y	N	added-since-mw72
padaka	Y	Y	N	kept
padatA	N	Y	N	added-since-mw72
padavedin	N	Y	N	added-since-mw72
padmAy	N	N	N	never-seen
padmaDara	N	Y	N	added-since-mw72
padmacala	N	N	N	never-seen
padmagarBa	N	Y	N	added-since-mw72
padmaka	Y	Y	N	kept
padmakoSI	N	N	N	never-seen
padmanetra	N	Y	N	added-since-mw72
padmasOganDika	N	Y	N	added-since-mw72
padmavyAkoSa	N	Y	N	added-since-mw72
padmavyUhA	N	N	N	never-seen
padminIvallaBa	N	Y	N	added-since-mw72
padyAmftataraMgiRIsopAna	N	N	N	never-seen
padyakAdambarI	N	Y	N	added-since-mw72
pajra	Y	Y	Y	kept
pakva	Y	Y	N	kept
pakvagAtra	N	Y	N	added-since-mw72
pakzADyAya	N	Y	N	added-since-mw72
pakza	Y	Y	N	kept
pakzaMbfhat	N	N	N	never-seen
pakzagama	N	Y	N	added-since-mw72
pakzakft	N	Y	N	added-since-mw72
pakzapucCa	N	Y	N	added-since-mw72
pakzasaMmita	N	N	N	never-seen
pakzi	Y	Y	N	kept
pakzman	Y	Y	N	kept
pakzmasaMpAta	N	N	N	never-seen
pakzu	N	Y	N	added-since-mw72
palASa	Y	Y	N	kept
palAva	Y	Y	N	kept
palISa	N	Y	N	added-since-mw72
paligoDa	N	N	N	never-seen
palita	Y	Y	N	kept
palitaMkaraRa	N	Y	N	added-since-mw72
palitavant	N	N	N	never-seen
palvalI	N	N	N	never-seen
palya	Y	Y	N	kept
palyayana	Y	Y	N	kept
panTalikA	N	Y	N	added-since-mw72
pannejana	N	Y	N	added-since-mw72
par	N	N	N	never-seen
parABAva	Y	Y	N	kept
parABava	Y	Y	N	kept
parANga	N	Y	N	added-since-mw72
parAgama	N	Y	N	added-since-mw72
parAgamana	N	N	N	never-seen
parAgvadana	N	N	N	never-seen
parAkrAnta	Y	Y	N	kept
parAmarSana	Y	Y	N	kept
parApAtam	N	N	N	never-seen
parArTacara	N	Y	N	added-since-mw72
parArTacaryA	N	Y	N	added-since-mw72
parAsisizu	Y	Y	N	kept
parIvApa	N	Y	N	added-since-mw72
parIzaha	N	N	N	never-seen
parIzwa	N	Y	N	added-since-mw72
para	Y	Y	N	kept
paraBAva	N	Y	N	added-since-mw72
paraMparaBojana	N	N	N	never-seen
paraSuPARwa	N	Y	N	added-since-mw72
paraSupalASa	N	Y	N	added-since-mw72
paramArTasaMvftisatyanirdeSa	N	Y	N	added-since-mw72
paramArya	N	Y	N	added-since-mw72
paramAtma	N	Y	N	added-since-mw72
paramAtra	N	Y	N	added-since-mw72
paramESvarya	N	Y	N	added-since-mw72
paramakARqa	N	Y	N	added-since-mw72
paramamokza	N	Y	N	added-since-mw72
paramardDika	N	Y	N	added-since-mw72
parapravAdin	N	Y	N	added-since-mw72
paraprayojana	N	Y	N	added-since-mw72
parapurapraveSa	N	Y	N	added-since-mw72
pararUpa	N	Y	N	added-since-mw72
paratantradfzwi	N	Y	N	added-since-mw72
paravarga	N	Y	N	added-since-mw72
parb	Y	Y	N	kept
pard	Y	Y	N	kept
pariBAvuka	Y	Y	N	kept
pariBAzaka	N	Y	N	added-since-mw72
pariBAzitatva	N	Y	N	added-since-mw72
pariBakza	N	N	N	never-seen
pariBogya	N	Y	N	added-since-mw72
pariDAnI	N	N	N	never-seen
pariDAsyE	N	N	N	never-seen
pariGawwana	Y	Y	N	kept
pariKaRqa	N	Y	N	added-since-mw72
pariPulla	N	Y	N	added-since-mw72
pariRAmana	N	Y	N	added-since-mw72
pariRAminitya	N	Y	N	added-since-mw72
pariRaya	Y	Y	N	kept
pariSEla	N	N	N	never-seen
pariSaNkA	N	Y	N	added-since-mw72
pariSapta	N	Y	N	added-since-mw72
pariSiTila	N	Y	N	added-since-mw72
paribuBukzita	N	Y	N	added-since-mw72
paricArin	Y	Y	N	kept
paricArita	N	Y	N	added-since-mw72
paricCinnatva	N	Y	N	added-since-mw72
paridaSa	N	Y	N	added-since-mw72
paridurbala	Y	Y	N	kept
parigamya	N	Y	N	added-since-mw72
parigfdDa	N	Y	N	added-since-mw72
parigfhyA	N	Y	N	added-since-mw72
parigreDa	N	Y	N	added-since-mw72
parihArasU	N	Y	N	added-since-mw72
parihAyam	N	N	N	never-seen
pariharaRIya	Y	Y	N	kept
parijana	Y	Y	N	kept
parijetar	N	N	N	never-seen
parikAsana	N	Y	N	added-since-mw72
parikAtara	N	Y	N	added-since-mw72
parikaTA	Y	Y	N	kept
parikara	Y	Y	N	kept
parikarkaSa	N	Y	N	added-since-mw72
parikiraRa	N	Y	N	added-since-mw72
parikzati	Y	Y	N	kept
parimarSa	Y	Y	N	kept
parimarza	Y	Y	N	kept
parimitatva	N	Y	N	added-since-mw72
parinABi	N	Y	N	added-since-mw72
parinirvAyin	N	Y	N	added-since-mw72
parinizWApanIya	N	Y	N	added-since-mw72
paripARqiman	N	Y	N	added-since-mw72
paripAwalita	N	Y	N	added-since-mw72
paripIvara	N	Y	N	added-since-mw72
paripUri	N	N	N	never-seen
paripaRana	N	Y	N	added-since-mw72
paripacana	N	Y	N	added-since-mw72
paripfcCanikA	N	Y	N	added-since-mw72
paripiRqI	N	N	N	never-seen
paripluta	Y	Y	N	kept
pariprApya	N	Y	N	added-since-mw72
paripuNKita	N	Y	N	added-since-mw72
pariramBin	Y	Y	N	kept
pariripsu	N	Y	N	added-since-mw72
parisKalita	N	Y	N	added-since-mw72
parisamohana	N	Y	N	added-since-mw72
paritikta	Y	Y	N	kept
parivApI	N	Y	N	added-since-mw72
parivAra	Y	Y	N	kept
parivaYcana	N	Y	N	added-since-mw72
parivartaka	Y	Y	N	kept
parivartana	Y	Y	N	kept
parivartita	Y	Y	N	kept
parivedita	Y	Y	N	kept
pariveza	Y	Y	N	kept
parivezya	N	Y	N	added-since-mw72
parivfkza	N	N	N	never-seen
parivftta	Y	Y	N	kept
parivftti	Y	Y	N	kept
parivitta	N	Y	N	added-since-mw72
parivivadizu	N	Y	N	added-since-mw72
parivraQiman	Y	Y	N	kept
parivyAkulI	N	N	N	never-seen
parivyaya	Y	Y	N	kept
parizaRqA	N	Y	N	added-since-mw72
parizvaNgin	N	Y	N	added-since-mw72
parj	N	N	N	never-seen
paroNhu	N	N	N	never-seen
parokzabanDu	N	Y	N	added-since-mw72
parokzabudDi	N	Y	N	added-since-mw72
paropasarpaRa	N	Y	N	added-since-mw72
partvA	N	N	N	never-seen
paruSSas	N	Y	N	added-since-mw72
paruza	Y	Y	N	kept
parvamitra	N	Y	N	added-since-mw72
parvataka	Y	Y	N	kept
parvataroDas	N	Y	N	added-since-mw72
paryARay	N	N	N	never-seen
paryAdAna	N	Y	N	added-since-mw72
paryAntam	N	Y	N	added-since-mw72
paryAvasaTa	N	Y	N	added-since-mw72
paryantI	N	N	N	never-seen
paryanta	Y	Y	N	kept
paryanubanDa	Y	Y	N	kept
paryavadApayitar	N	N	N	never-seen
paryavasAna	Y	Y	N	kept
paryavasTAna	N	Y	N	added-since-mw72
paryezwi	Y	Y	N	kept
paryudasana	N	Y	N	added-since-mw72
paryupAsanA	N	N	N	never-seen
paryupAsya	N	Y	N	added-since-mw72
paryutTAna	Y	Y	N	kept
paryuzaRAvicArabfhadavacUrRi	N	N	N	never-seen
paryuzaRa	Y	Y	N	kept
paryuzitavya	N	Y	N	added-since-mw72
parzatka	N	Y	N	added-since-mw72
pat	Y	Y	N	kept
patAkAy	N	N	N	never-seen
patAka	Y	Y	N	kept
patAkin	Y	Y	N	kept
patIyas	Y	Y	N	kept
pataMgASman	N	Y	N	added-since-mw72
pataMga	N	Y	N	added-since-mw72
patant	N	N	N	never-seen
patiMvarA	N	Y	N	added-since-mw72
pattI	N	N	N	never-seen
pattodaSa	N	N	N	never-seen
pattorRa	N	Y	N	added-since-mw72
pattraBaNgi	N	Y	N	added-since-mw72
pattracCawA	N	Y	N	added-since-mw72
pattracCeda	N	Y	N	added-since-mw72
pattracCedya	N	Y	N	added-since-mw72
pattrakartarI	N	Y	N	added-since-mw72
pattralatA	N	Y	N	added-since-mw72
pattrapati	N	Y	N	added-since-mw72
pattravAha	N	Y	N	added-since-mw72
pattrika	N	Y	N	added-since-mw72
pavamAnasaKa	N	Y	N	added-since-mw72
pavanapaYcASikA	N	Y	N	added-since-mw72
pavi	Y	Y	N	kept
pavitrezwi	N	Y	N	added-since-mw72
pavyA	Y	Y	N	kept
paw	Y	Y	N	kept
pawU	N	N	N	never-seen
pawalikA	N	Y	N	added-since-mw72
pawamaya	N	Y	N	added-since-mw72
pawavAsa	N	Y	N	added-since-mw72
pawavAsinIM	N	N	N	never-seen
pawaveSman	N	Y	N	added-since-mw72
pawiman	Y	Y	N	kept
pawutA	N	Y	N	added-since-mw72
payaHpratibimba	N	Y	N	added-since-mw72
payaHsPAti	N	Y	N	added-since-mw72
payasvin	N	Y	N	added-since-mw72
payoBft	N	Y	N	added-since-mw72
payomAnuzI	N	Y	N	added-since-mw72
payomuKa	N	Y	N	added-since-mw72
pazWavah	N	Y	N	added-since-mw72
peSa	Y	Y	N	kept
peki	N	Y	N	added-since-mw72
peluvAsa	N	Y	N	added-since-mw72
peru	Y	Y	N	kept
pewAka	Y	Y	N	kept
pewwAla	N	Y	N	added-since-mw72
peyAlam	N	Y	N	added-since-mw72
pezI	Y	Y	N	kept
pfSnimanTa	N	Y	N	added-since-mw72
pfSnivAla	N	Y	N	added-since-mw72
pfTagdevata	N	Y	N	added-since-mw72
pfTaksTiti	N	Y	N	added-since-mw72
pfTivIkftsna	N	Y	N	added-since-mw72
pfTu	Y	Y	N	kept
pfTudatta	N	Y	N	added-since-mw72
pfkza	Y	Y	N	kept
pftanAja	N	Y	N	added-since-mw72
pftanAjaya	N	Y	N	added-since-mw72
pfzWI	N	N	N	never-seen
pfzWatApa	N	Y	N	added-since-mw72
pfzWatoBAvam	N	Y	N	added-since-mw72
pfzWatomuKa	N	Y	N	added-since-mw72
pfzWya	Y	Y	N	kept
pfzant	N	N	N	never-seen
pfzatka	Y	Y	N	kept
pfzwa	Y	Y	N	kept
pfzwi	Y	Y	N	kept
pfzwisAcaya	N	Y	N	added-since-mw72
piDAyin	N	Y	N	added-since-mw72
piNgARaka	N	N	N	never-seen
piNgalavatsAjIva	N	Y	N	added-since-mw72
piNgeSa	N	Y	N	added-since-mw72
piNgiman	N	Y	N	added-since-mw72
piRqABra	N	Y	N	added-since-mw72
piRqIra	Y	Y	N	kept
piRqaka	Y	Y	N	kept
piRqapAtranirhAraka	N	Y	N	added-since-mw72
piRqatakzuka	N	N	N	never-seen
piRqaveRu	N	Y	N	added-since-mw72
piRqipAla	Y	Y	N	kept
piSAcaSvan	N	Y	N	added-since-mw72
piSAcadIpikA	N	Y	N	added-since-mw72
piSAcaka	Y	Y	N	kept
piSAcodumbara	N	Y	N	added-since-mw72
piSIlI	N	Y	N	added-since-mw72
piSIla	Y	Y	N	kept
piSaNga	Y	Y	N	kept
piSaNgay	N	N	N	never-seen
piSitapraroha	N	Y	N	added-since-mw72
piSitavasAmaya	N	Y	N	added-since-mw72
piSuna	Y	Y	N	kept
piWarikA	N	N	N	never-seen
piYjulikA	N	N	N	never-seen
picColA	N	Y	N	added-since-mw72
piculikA	N	N	N	never-seen
pilla	Y	Y	N	kept
pinAkasena	N	Y	N	added-since-mw72
pinAkin	Y	Y	N	kept
pipIlikotkiraRa	N	Y	N	added-since-mw72
pipatizant	N	N	N	never-seen
pipfkzu	N	Y	N	added-since-mw72
pitAputra	N	Y	N	added-since-mw72
pitfdevata	N	Y	N	added-since-mw72
pitrya	Y	Y	N	kept
pittopasfzwa	N	Y	N	added-since-mw72
pitu	Y	Y	N	kept
piwaka	Y	Y	N	kept
piz	Y	Y	N	kept
pizwI	N	Y	N	added-since-mw72
pizwapepaRa	N	N	N	never-seen
plAvin	Y	Y	N	kept
plI	Y	Y	N	kept
plakzodumbara	N	Y	N	added-since-mw72
ploti	N	Y	N	added-since-mw72
plozwar	N	N	N	never-seen
plu	Y	Y	N	kept
poYC	N	Y	N	added-since-mw72
ponti	N	N	N	never-seen
popPala	N	N	N	never-seen
potAy	N	N	N	never-seen
powa	Y	Y	N	kept
poza	Y	Y	N	kept
pozaDa	Y	Y	N	kept
prABAkara	Y	Y	N	kept
prANmuKAYcana	N	N	N	never-seen
prANmuKa	N	Y	N	added-since-mw72
prARAcArya	N	Y	N	added-since-mw72
prARa	Y	Y	N	kept
prARaBAj	N	Y	N	added-since-mw72
prARin	Y	Y	N	kept
prAS	Y	Y	N	kept
prATamakalpika	Y	Y	N	kept
prAcInakarRa	N	Y	N	added-since-mw72
prAcInapratIcitas	N	N	N	never-seen
prAgItya	N	Y	N	added-since-mw72
prAgagra	N	Y	N	added-since-mw72
prAgjanmaka	N	Y	N	added-since-mw72
prAglajja	N	Y	N	added-since-mw72
prAgudagagra	N	Y	N	added-since-mw72
prAharika	N	Y	N	added-since-mw72
prAhavanIya	N	Y	N	added-since-mw72
prAjApatI	N	Y	N	added-since-mw72
prAjApatya	Y	Y	N	kept
prAjApatyavrata	N	Y	N	added-since-mw72
prAleyavarza	N	Y	N	added-since-mw72
prAnUna	N	Y	N	added-since-mw72
prAnta	Y	Y	N	kept
prApayitar	N	N	N	never-seen
prAptakrama	N	Y	N	added-since-mw72
prAptamanoraTa	N	Y	N	added-since-mw72
prAptaprakASaka	N	Y	N	added-since-mw72
prApyarUpa	N	Y	N	added-since-mw72
prArTa	Y	Y	N	kept
prAsAdikA	N	Y	N	added-since-mw72
prAsAdivArika	N	Y	N	added-since-mw72
prAsAdya	N	Y	N	added-since-mw72
prAtaraSana	N	Y	N	added-since-mw72
prAtarmantra	N	Y	N	added-since-mw72
prAtihArya	Y	Y	N	kept
prAtijanIna	Y	Y	N	kept
prAtikUlika	Y	Y	N	kept
prAtipaTika	Y	Y	N	kept
prAtipakza	Y	Y	N	kept
prAtisIma	N	Y	N	added-since-mw72
prAveSya	N	Y	N	added-since-mw72
prAvfta	Y	Y	N	kept
prAvfzija	N	Y	N	added-since-mw72
prAvis	N	N	N	never-seen
prAyaScitti	N	Y	N	added-since-mw72
prAyaScittika	N	Y	N	added-since-mw72
prAyogi	N	Y	N	added-since-mw72
prEyameDa	Y	Y	N	kept
prEzakft	N	Y	N	added-since-mw72
prI	Y	Y	N	kept
prIRayitar	N	N	N	never-seen
prItamAnasa	N	Y	N	added-since-mw72
prItisaMyoga	N	Y	N	added-since-mw72
praBAcandra	N	Y	Y	added-since-mw72
praBAmaya	N	Y	N	added-since-mw72
praBAsvara	Y	Y	N	kept
praBAvana	Y	Y	N	kept
praBAzaRa	Y	Y	N	kept
praBUtatA	N	Y	N	added-since-mw72
praBava	Y	Y	N	kept
praBedaka	Y	Y	N	kept
praC	Y	Y	N	kept
praDAnamantrin	N	Y	N	added-since-mw72
praDAnavAsas	N	Y	N	added-since-mw72
praDarzin	N	Y	N	added-since-mw72
praDvAna	N	Y	N	added-since-mw72
praGaRa	Y	Y	N	kept
praKAda	Y	Y	N	kept
praKara	Y	Y	N	kept
praRAda	Y	Y	N	kept
praRItavijYApana	N	Y	N	added-since-mw72
praRamrI	N	N	N	never-seen
praRamra	N	Y	N	added-since-mw72
praRatAtmavant	N	N	N	never-seen
praRaya	Y	Y	N	kept
praRayamaya	N	Y	N	added-since-mw72
praRetra	N	Y	N	added-since-mw72
praSAntaviniScayaprAtihAryanirdeSa	N	N	N	never-seen
praSaMsanIya	Y	Y	N	kept
praSaWa	N	Y	N	added-since-mw72
praSakya	N	Y	N	added-since-mw72
praSasti	Y	Y	N	kept
praSlaTa	Y	Y	N	kept
praSna	Y	Y	N	kept
praT	Y	Y	N	kept
praTamaBakzaRa	N	Y	N	added-since-mw72
praTamapluta	N	Y	N	added-since-mw72
prabADanA	N	N	N	never-seen
prabalanatA	N	Y	N	added-since-mw72
prabalavirasA	N	Y	N	added-since-mw72
prabanDana	Y	Y	N	kept
pracCeda	Y	Y	N	kept
pracCindyAkarRa	N	Y	N	added-since-mw72
pracaRqapARqava	N	Y	N	added-since-mw72
pracalAy	N	N	N	never-seen
pracapala	N	Y	N	added-since-mw72
praceya	N	Y	N	added-since-mw72
praciti	N	Y	N	added-since-mw72
pradAsa	N	Y	N	added-since-mw72
pradAtrikA	N	Y	N	added-since-mw72
pradaRqavant	N	N	N	never-seen
pradara	Y	Y	N	kept
pradehana	N	Y	N	added-since-mw72
praditsA	N	Y	N	added-since-mw72
pragraha	Y	Y	N	kept
prahARa	Y	Y	N	kept
prahAra	Y	Y	N	kept
prahAsa	Y	Y	N	kept
prahAsin	Y	Y	N	kept
prahaRana	Y	Y	N	kept
prahasita	Y	Y	N	kept
prahasitanetra	N	Y	N	added-since-mw72
prahata	Y	Y	N	kept
praheRavaka	N	N	N	never-seen
prahetavya	N	Y	N	added-since-mw72
prahitAtman	N	Y	N	added-since-mw72
prajAgarUka	N	Y	N	added-since-mw72
prajApa	N	Y	N	added-since-mw72
prajApati	N	Y	N	added-since-mw72
prajApaticiti	N	Y	N	added-since-mw72
prajApatika	N	Y	N	added-since-mw72
prajApatimuKa	N	Y	N	added-since-mw72
prajAsfj	N	Y	N	added-since-mw72
prajYAcandra	N	Y	N	added-since-mw72
prajYApAramitA	N	Y	N	added-since-mw72
prajYApanopANga	N	Y	N	added-since-mw72
prajYapti	Y	Y	N	kept
prajaNGA	N	Y	N	added-since-mw72
prakarzin	Y	Y	N	kept
prakftatva	N	Y	N	added-since-mw72
prakftilaya	N	Y	N	added-since-mw72
prakrAmaRI	N	Y	N	added-since-mw72
prakvATa	N	Y	N	added-since-mw72
prakzAlayitar	N	N	N	never-seen
prakzAma	N	Y	N	added-since-mw72
prakzveqana	Y	Y	N	kept
prakzveqita	Y	Y	N	kept
pralInendriya	N	Y	N	added-since-mw72
pralabDar	N	N	N	never-seen
pralamBana	Y	Y	N	kept
pramAdin	Y	Y	N	kept
pramAtar	N	N	N	never-seen
pramaTin	N	Y	N	added-since-mw72
pramattarajju	N	Y	N	added-since-mw72
prametos	N	Y	N	added-since-mw72
pramita	Y	Y	N	kept
pramodam	N	Y	N	added-since-mw72
pramokzaka	N	Y	N	added-since-mw72
pranazwADigata	N	Y	N	added-since-mw72
prapARa	N	Y	N	added-since-mw72
prapAwikA	N	Y	N	added-since-mw72
prapIti	N	Y	N	added-since-mw72
prapaYcatva	N	Y	N	added-since-mw72
prarohaka	N	Y	N	added-since-mw72
prasAdaBAj	N	Y	N	added-since-mw72
prasAra	Y	Y	N	kept
prasPAra	N	Y	N	added-since-mw72
prasTAna	Y	Y	N	kept
prasTAnaka	N	Y	N	added-since-mw72
prasTAvant	N	N	N	never-seen
prasTika	Y	Y	N	kept
prasUti	Y	Y	N	kept
prasUtikA	Y	Y	N	kept
prasaNgAnusaNgena	N	Y	N	added-since-mw72
prasaYjayitavya	N	Y	N	added-since-mw72
prasajyapratizeDa	N	Y	N	added-since-mw72
prasava	Y	Y	N	kept
prasevaka	Y	Y	N	kept
prasftiMpaca	N	N	N	never-seen
prasftvara	N	Y	N	added-since-mw72
praskandana	Y	Y	N	kept
praskandin	Y	Y	N	kept
prasnavana	N	Y	N	added-since-mw72
prasrAvakaraRa	N	Y	N	added-since-mw72
prasrava	Y	Y	N	kept
prastAvAntaragata	N	Y	N	added-since-mw72
prastAvapAWaka	N	Y	N	added-since-mw72
pratAparAja	N	Y	N	added-since-mw72
pratIkzA	N	Y	N	added-since-mw72
pratIra	Y	Y	N	kept
pratItimant	N	N	N	never-seen
pratanU	N	N	N	never-seen
pratiBinnaka	N	Y	N	added-since-mw72
pratiBoga	Y	Y	N	kept
pratiGa	Y	Y	N	kept
pratiPalIkaraRam	N	Y	N	added-since-mw72
pratiSarAsana	N	Y	N	added-since-mw72
pratiSaraRa	N	Y	N	added-since-mw72
pratiSayita	N	Y	N	added-since-mw72
pratiSilpa	N	Y	N	added-since-mw72
pratiSizyakA	N	N	N	never-seen
pratiSrama	N	Y	N	added-since-mw72
pratiSravaRa	Y	Y	N	kept
pratibala	Y	Y	N	kept
pratibimb	N	N	N	never-seen
praticCandaka	Y	Y	N	kept
praticCandakalyARa	N	Y	N	added-since-mw72
pratidantin	Y	Y	N	kept
pratidantyanIkam	N	Y	N	added-since-mw72
pratideSanIya	N	Y	N	added-since-mw72
pratiduh	Y	Y	N	kept
pratidvaMdvay	N	N	N	never-seen
pratidvaMdvin	N	Y	N	added-since-mw72
pratidvipa	N	Y	N	added-since-mw72
pratigrAmasamIyam	N	N	N	never-seen
pratigraha	Y	Y	N	kept
pratigu	Y	Y	N	kept
pratihanana	Y	Y	N	kept
pratihiMsita	Y	Y	N	kept
pratijApa	N	Y	N	added-since-mw72
pratijanam	N	Y	N	added-since-mw72
pratikARqam	N	Y	N	added-since-mw72
pratikAya	Y	Y	N	kept
pratikaRWakayA	N	N	N	never-seen
pratikaYcuka	Y	Y	N	kept
pratimAnayitavya	N	Y	N	added-since-mw72
pratimArga	N	Y	N	added-since-mw72
pratimAsaMprokzaRa	N	N	N	never-seen
pratimahAnasa	N	Y	N	added-since-mw72
pratimahiza	N	Y	N	added-since-mw72
pratimallatA	N	Y	N	added-since-mw72
pratimantrayitavya	N	Y	N	added-since-mw72
pratimiti	N	Y	N	added-since-mw72
pratimoka	N	Y	N	added-since-mw72
pratimuKa	Y	Y	N	kept
pratinAyaka	Y	Y	N	kept
pratinayana	N	Y	N	added-since-mw72
pratininada	Y	Y	N	kept
pratinisfjya	N	N	N	never-seen
pratiniveSa	N	Y	N	added-since-mw72
pratinizkraya	N	Y	N	added-since-mw72
pratipAduka	Y	Y	N	kept
pratipaRya	N	Y	N	added-since-mw72
pratipaTa	N	Y	N	added-since-mw72
pratipacanam	N	Y	N	added-since-mw72
pratipad	Y	Y	N	kept
pratipalam	N	Y	N	added-since-mw72
pratipanmaya	N	Y	N	added-since-mw72
pratiprAS	Y	Y	N	kept
pratipraSrabDi	N	Y	N	added-since-mw72
pratiprayARakam	N	Y	N	added-since-mw72
pratipriya	Y	Y	N	kept
pratipur	N	Y	N	added-since-mw72
pratirUpatA	N	Y	N	added-since-mw72
