k1	hom	lex	accented	index_token	stem_class	compound_members	irregularities
SaSiguhyA		f.	SaSiguhyA	f·2+2	ā-stem	SaSi+guhyA	compound:2_members;ā_stem_f(§364)
SaSigraha		m.	SaSigraha	m·1+2	a-stem	SaSi+graha	compound:2_members
SaSija		m.	SaSija	m·1+2	a-stem	SaSi+ja	compound:2_members
SaSitanaya		m.	SaSitanaya	m·1+2	a-stem	SaSi+tanaya	compound:2_members
SaSitejas		m.	SaSitejas	m·8s+2	consonant-stem	SaSi+tejas	compound:2_members
SaSideva		m.	SaSideva	m·1+2	a-stem	SaSi+deva	compound:2_members
SaSidEva		n.	SaSidEva	n·1+2	a-stem	SaSi+dEva	compound:2_members
SaSiDara		m.	SaSiDara	m·1+2	a-stem	SaSi+Dara	compound:2_members
SaSiDvaja		m.	SaSiDvaja	m·1+2	a-stem	SaSi+Dvaja	compound:2_members
SaSin		m.	SaSin	m·8i	consonant-stem		
SaSiputra		m.	SaSiputra	m·1+2	a-stem	SaSi+putra	compound:2_members
SaSipraBa		n.	SaSipraBa	n·1+2	a-stem	SaSi+praBa	compound:2_members
SaSipriyA		f.	SaSipriyA	f·2+2	ā-stem	SaSi+priyA	compound:2_members;ā_stem_f(§364)
SaSiBft		m.	SaSiBft	m·8√+2	consonant-stem	SaSi+Bft	compound:2_members
SaSiBUzaRa		adj.	SaSiBUzaRa	mfn·1+2	a-stem	SaSi+BUzaRa	compound:2_members;tri_gender_adj
SaSimaRi		m.	SaSimaRi	m·3+2	i-stem	SaSi+maRi	compound:2_members
SaSimant		adj.	SaSimant	mfn·8t*	consonant-stem		tri_gender_adj
SaSimOli		adj.	SaSimOli	mfn·3+2	i-stem	SaSi+mOli	compound:2_members;tri_gender_adj
SaSireKA		f.	SaSireKA	f·2+2	ā-stem	SaSi+reKA	compound:2_members;ā_stem_f(§364)
SaSileKA		f.	SaSileKA	f·2+2	ā-stem	SaSi+leKA	compound:2_members;ā_stem_f(§364)
SaSivaMSa		m.	SaSivaMSa	m·1+2	a-stem	SaSi+vaMSa	compound:2_members
SaSivadana		adj.	SaSivadana	mfn·1	a-stem		tri_gender_adj
SaSivarDana		m.	SaSivarDana	m·1+2	a-stem	SaSi+varDana	compound:2_members
SaSivAwikA		f.	SaSivAwikA	f·2+2	ā-stem	SaSi+vAwikA	compound:2_members;ā_stem_f(§364)
SaSivimala		adj.	SaSivimala	mfn·1+2	a-stem	SaSi+vimala	compound:2_members;tri_gender_adj
SaSiSiKAmaRi		adj.	SaSiSiKAmaRi	mfn·3+2	i-stem	SaSi+SiKAmaRi	compound:2_members;tri_gender_adj
SaSiSeKara		m.	SaSiSeKara	m·1+2	a-stem	SaSi+SeKara	compound:2_members
SaSisuta		m.	SaSisuta	m·1+2	a-stem	SaSi+suta	compound:2_members
SaSIyaMs		adj.	Sa/SIyaMs	mfn·8√a	consonant-stem		tri_gender_adj
SaSISa		m.	SaSISa	m·1	a-stem		
SaSorRa		n.	SaSorRa	n·1	a-stem		
SaSolUkamuKI		f.	SaSolUkamuKI	f·4	ī-stem		
SaSvaDA		adv.	SaSvaDA/	ind·0	indeclinable		
SaSvant		adj.	Sa/Svant	mfn·8ta*	consonant-stem		tri_gender_adj
SazkaRqI		f.	SazkaRqI/	f·4b	ī-stem		
Sazkula		m.	Sazkula	m·1	a-stem		
SazkulikA		f.	SazkulikA	f·2	ā-stem		ā_stem_f(§364)
SazkulI		f.	SazkulI/	f·4b	ī-stem		
Sazpa		n.	Sa/zpa	n·1a	a-stem		
SazpaBuj		m.	SazpaBuj	m·8√+2	consonant-stem	Sazpa+Buj	compound:2_members
SazpaBojana		m.	SazpaBojana	m·1+2	a-stem	Sazpa+Bojana	compound:2_members
Sazpavant		adj.	Sazpavant	mfn·8t*	consonant-stem		tri_gender_adj
SazpiYjara		adj.	Sazpi/Yjara	mfn·1a	a-stem		tri_gender_adj
Sazpya		adj.	Sa/zpya	mfn·1a	a-stem		tri_gender_adj
Sas	2	adv.	Sas	ind·0	indeclinable		
Sas	3	adj.	Sas	mfn·8s	consonant-stem		tri_gender_adj
Sasa		adj.	Sasa	mfn·1	a-stem		tri_gender_adj
Sasana		n.	Sa/sana	n·1a	a-stem		
Sasta	1	adj.	Sasta/	mfn·1b	a-stem		tri_gender_adj
Sasta	2	adj.	Sasta	mfn·1	a-stem		tri_gender_adj
Sasta	3	adj.	Sasta	mfn·1	a-stem		tri_gender_adj
Sastaka		n.	Sastaka	n·1	a-stem		
SastatA		f.	SastatA	f·2+2	ā-stem	Sasta+tA	compound:2_members;ā_stem_f(§364)
Sasti		f.	Sasti/	f·3b	i-stem		
SastokTa		adj.	Sasto/kTa	mfn·1a	a-stem		tri_gender_adj
Sastra	1	n.	Sastra/	n·1b	a-stem		
Sastra	2	m.	Sastra/	m·1b	a-stem		
Sastraka	2	n.	Sastraka	n·1	a-stem		
Sastrakarman		n.	Sastrakarman	n·8n*+2	consonant-stem	Sastra+karman	compound:2_members
Sastrakali		m.	Sastrakali	m·3+2	i-stem	Sastra+kali	compound:2_members
Sastrakopa		m.	Sastrakopa	m·1+2	a-stem	Sastra+kopa	compound:2_members
SastrakoSataru		m.	SastrakoSataru	m·5+3	u-stem	Sastra+koSa+taru	compound:3_members
SastracUrRa		n.	SastracUrRa	n·1+2	a-stem	Sastra+cUrRa	compound:2_members
SastrajIvin		adj.	SastrajIvin	mfn·8i+2	consonant-stem	Sastra+jIvin	compound:2_members;tri_gender_adj
SastradevatA		f.	SastradevatA	f·2+2	ā-stem	Sastra+devatA	compound:2_members;ā_stem_f(§364)
SastraDAraRa		n.	SastraDAraRa	n·1+2	a-stem	Sastra+DAraRa	compound:2_members
Sastrapada		n.	Sastrapada	n·1+2	a-stem	Sastra+pada	compound:2_members
SastrapARi		adj.	SastrapARi	mfn·3+2	i-stem	Sastra+pARi	compound:2_members;tri_gender_adj
SastrapAna		n.	SastrapAna	n·1+2	a-stem	Sastra+pAna	compound:2_members
Sastraprakopa		m.	Sastraprakopa	m·1+2	a-stem	Sastra+prakopa	compound:2_members
SastraprahAra		m.	SastraprahAra	m·1+2	a-stem	Sastra+prahAra	compound:2_members
SastrabanDa		adj.	SastrabanDa	mfn·1	a-stem		tri_gender_adj
SastraBft		adj.	SastraBft	mfn·8√+2	consonant-stem	Sastra+Bft	compound:2_members;tri_gender_adj
Sastramaya		adj.	Sastramaya	mfn·1+2	a-stem	Sastra+maya	compound:2_members;tri_gender_adj
SastramArja		m.	SastramArja	m·1+2	a-stem	Sastra+mArja	compound:2_members
Sastravant	1	adj.	Sastravant	mfn·8t*	consonant-stem		tri_gender_adj
Sastravant	2	adj.	Sastravant	mfn·8t*	consonant-stem		tri_gender_adj
SastravArtta		adj.	SastravArtta	mfn·1+2	a-stem	Sastra+vArtta	compound:2_members;tri_gender_adj
Sastravftti		adj.	Sastravftti	mfn·3+2	i-stem	Sastra+vftti	compound:2_members;tri_gender_adj
SastraSikzA		f.	SastraSikzA	f·2+2	ā-stem	Sastra+SikzA	compound:2_members;ā_stem_f(§364)
Sastrahata		adj.	Sastrahata	mfn·1+2	a-stem	Sastra+hata	compound:2_members;tri_gender_adj
SastrAKya		adj.	SastrAKya	mfn·1	a-stem		tri_gender_adj
SastrAjIva		adj.	SastrAjIva	mfn·1	a-stem		tri_gender_adj
SastrAyasa		n.	SastrAyasa	n·1	a-stem		
SastrAyuDa		adj.	SastrAyuDa	mfn·1	a-stem		tri_gender_adj
Sastrin	1	adj.	Sastrin	mfn·8i	consonant-stem		tri_gender_adj
Sastrin	2	adj.	Sastrin	mfn·8i	consonant-stem		tri_gender_adj
SastropajIvin		m.	SastropajIvin	m·8i	consonant-stem		
Sasman		n.	Sa/sman	n·8na*	consonant-stem		
Sasya	1	adj.	Sa/sya	mfn·1a	a-stem		tri_gender_adj
Sasya	2	adj.	Sasya	mfn·1	a-stem		tri_gender_adj
SA	2	adj.	SA	mfn·2	ā-stem		tri_gender_adj
SAMvatya		m.	SAMvatya	m·1	a-stem		
SAMSapa		adj.	SAMSapa/	mfn·1b	a-stem		tri_gender_adj
SAMSapaka		adj.	SA/MSapaka	mfn·1a	a-stem		tri_gender_adj
SAMSapAyana		m.	SAMSapAyana/	m·1b	a-stem		
SAMSapAyanaka		adj.	SAMSapAyanaka	mfn·1	a-stem		tri_gender_adj
SAMSapAsTala		adj.	SAMSapAsTala	mfn·1	a-stem		tri_gender_adj
SAka	1	m.	SAka	m·1	a-stem		
SAka	2	m.	SA/ka	m·1a	a-stem		
SAka	3	adj.	SAka/	mfn·1b	a-stem		tri_gender_adj
SAka	4	m.	SAka	m·1	a-stem		
SAka	5	adj.	SAka	mfn·1	a-stem		tri_gender_adj
SAkacukrikA		f.	SAkacukrikA	f·2+2	ā-stem	SAka+cukrikA	compound:2_members;ā_stem_f(§364)
SAkajagDa		adj.	SAkajagDa/	mfn·1b+2	a-stem	SAka+jagDa	compound:2_members;tri_gender_adj
SAkajambu		adj.	SAkajambu	mfn·5+2	u-stem	SAka+jambu	compound:2_members;tri_gender_adj
SAkawa	1	adj.	SAkawa/	mfn·1b	a-stem		tri_gender_adj
SAkawa	2	n.	SA/kawa	n·1a	a-stem		
SAkawAyana		m.	SAkawAyana/	m·1b	a-stem		
SAkawAyani		m.	SAkawAyani	m·3	i-stem		
SAkawika		m.	SAkawika	m·1	a-stem		
SAkawIkarRa		adj.	SAkawIkarRa/	mfn·1b	a-stem		tri_gender_adj
SAkawIna		m.	SAkawIna	m·1	a-stem		
SAkataru		m.	SAkataru	m·5+2	u-stem	SAka+taru	compound:2_members
SAkadAsa		m.	SAkadAsa	m·1+2	a-stem	SAka+dAsa	compound:2_members
SAkanDavya		m.	SAkanDavya/	m·1b	a-stem		
SAkaMDeya		m.	SAkaMDeya/	m·1b	a-stem		
SAkapattra		m.	SAkapattra	m·1+2	a-stem	SAka+pattra	compound:2_members
SAkapArTiva		m.	SAkapArTiva	m·1+2	a-stem	SAka+pArTiva	compound:2_members
SAkapiRqI		f.	SAkapiRqI	f·4+2	ī-stem	SAka+piRqI	compound:2_members
SAkapURi		m.	SAkapURi	m·3	i-stem		
SAkapUta		n.	SAkapUta	n·1	a-stem		
SAkapota		m.	SAkapota	m·1+2	a-stem	SAka+pota	compound:2_members
SAkabAleya		m.	SAkabAleya	m·1+2	a-stem	SAka+bAleya	compound:2_members
SAkabilva		m.	SAkabilva	m·1+2	a-stem	SAka+bilva	compound:2_members
SAkaBava		n.	SAkaBava	n·1+2	a-stem	SAka+Bava	compound:2_members
SAkaMpUta		m.	SAkaMpUta	m·1	a-stem		
SAkaMBarI		f.	SAkaMBarI	f·4	ī-stem		
SAkaMBarIya		adj.	SAkaMBarIya	mfn·1	a-stem		tri_gender_adj
SAkayogya		m.	SAkayogya	m·1+2	a-stem	SAka+yogya	compound:2_members
SAkarasa		m.	SAkarasa	m·1+2	a-stem	SAka+rasa	compound:2_members
SAkarAj		m.	SAkarAj	m·8√+2	consonant-stem	SAka+rAj	compound:2_members
SAkarAja		m.	SAkarAja	m·1+2	a-stem	SAka+rAja	compound:2_members
SAkala		adj.	SAkala/	mfn·1b	a-stem		tri_gender_adj
SAkalaka		adj.	SA/kalaka	mfn·1a	a-stem		tri_gender_adj
SAkalahomIya		adj.	SAkalahomIya	mfn·1+2	a-stem	SAkala+homIya	compound:2_members;tri_gender_adj
SAkalika		adj.	SAkalika/	mfn·1b	a-stem		tri_gender_adj
SAkalika		adj.	SA/kalika	mfn·1a	a-stem		tri_gender_adj
SAkalya		m.	SA/kalya	m·1a	a-stem		
SAkalyAyanI		f.	SAkalyAyanI/	f·4b	ī-stem		
SAkavAwa		m.	SAkavAwa	m·1+2	a-stem	SAka+vAwa	compound:2_members
SAkavindaka		m.	SAkavindaka	m·1+2	a-stem	SAka+vindaka	compound:2_members
SAkavIra		m.	SAkavIra	m·1+2	a-stem	SAka+vIra	compound:2_members
SAkavfkza		m.	SAkavfkza	m·1+2	a-stem	SAka+vfkza	compound:2_members
SAkaSAkawa		n.	SAkaSAkawa	n·1+2	a-stem	SAka+SAkawa	compound:2_members
SAkaSAkina		n.	SAkaSAkina	n·1+2	a-stem	SAka+SAkina	compound:2_members
SAkaSrezWa		m.	SAkaSrezWa	m·1+2	a-stem	SAka+SrezWa	compound:2_members
SAkA		f.	SAkA	f·2	ā-stem		ā_stem_f(§364)
SAkAKya		m.	SAkAKya	m·1	a-stem		
SAkANga		n.	SAkANga	n·1	a-stem		
SAkAda		m.	SAkAda	m·1	a-stem		
SAkAmla		n.	SAkAmla	n·1	a-stem		
SAkAmlaBedana		n.	SAkAmlaBedana	n·1+2	a-stem	SAkAmla+Bedana	compound:2_members
SAkAyanin		m.	SAkAyani/n	m·8ib	consonant-stem		
SAkAyanya		m.	SA/kAyanya	m·1a	a-stem		
SAkArikI		f.	SAkArikI	f·4	ī-stem		
SAkArI		f.	SAkArI	f·4	ī-stem		
SAkAlAbu		m.	SAkAlAbu	m·5	u-stem		
SAkAzwakA		f.	SAkAzwakA	f·2	ā-stem		ā_stem_f(§364)
SAkAzwamI		f.	SAkAzwamI	f·4	ī-stem		
SAkin		adj.	SAki/n	mfn·8ib	consonant-stem		tri_gender_adj
SAkina	1	adj.	SAkina/	mfn·1b	a-stem		tri_gender_adj
SAkina	2	n.	SA/kina	n·1a	a-stem		
SAkinikA		f.	SAkinikA	f·2	ā-stem		ā_stem_f(§364)
SAkinI	1	f.	SAkinI	f·4	ī-stem		
SAkinI	2	f.	SAkinI	f·4	ī-stem		
SAkinItva		n.	SAkinItva	n·1	a-stem		
SAkI		f.	SA/kI	f·4a	ī-stem		
SAkIya		adj.	SAkI/ya	mfn·1a	a-stem		tri_gender_adj
SAkuRa		adj.	SAkuRa	mfn·1	a-stem		tri_gender_adj
SAkuna		adj.	SAkuna	mfn·1	a-stem		tri_gender_adj
SAkunasUkta		n.	SAkunasUkta	n·1+2	a-stem	SAkuna+sUkta	compound:2_members
SAkunika		m.	SAkunika	m·1	a-stem		
SAkunin		m.	SAkunin	m·8i	consonant-stem		
SAkuneya		adj.	SAkuneya/	mfn·1b	a-stem		tri_gender_adj
SAkuntaki		m.	SAkuntaki	m·3	i-stem		
SAkuntakIya		m.	SAkuntakI/ya	m·1a	a-stem		
SAkuntala		m.	SAkuntala	m·1	a-stem		
SAkuntaleya		m.	SAkuntaleya	m·1	a-stem		
SAkulAdika		adj.	SA/kulAdika	mfn·1a	a-stem		tri_gender_adj
SAkulika		m.	SAkulika/	m·1b	a-stem		
SAkekzu		m.	SAkekzu	m·5	u-stem		
SAkftka		adj.	SAkftka	mfn·1	a-stem		tri_gender_adj
SAkeya		m.	SAkeya	m·1	a-stem		
SAkkI		f.	SAkkI	f·4	ī-stem		
SAkta	1	adj.	SAkta/	mfn·1b	a-stem		tri_gender_adj
SAkta	2	m.	SAkta	m·1	a-stem		
SAktAnandataraMgiRI		f.	SAktAnandataraMgiRI	f·4	ī-stem		
SAktika		adj.	SAktika/	mfn·1b	a-stem		tri_gender_adj
SAktIka		m.	SAktIka/	m·1b	a-stem		
SAkteya	1	m.	SAkteya	m·1	a-stem		
SAkteya	2	m.	SAkteya	m·1	a-stem		
SAktya		m.	SAktya/	m·1b	a-stem		
SAktyAyana		m.	SAktyAyana	m·1	a-stem		
SAkman		n.	SA/kman	n·8na*	consonant-stem		
SAkya		m.	SAkya	m·1	a-stem		
SAkyapAla		m.	SAkyapAla	m·1+2	a-stem	SAkya+pAla	compound:2_members
SAkyapuMgava		m.	SAkyapuMgava	m·1+2	a-stem	SAkya+puMgava	compound:2_members
SAkyapraBa		m.	SAkyapraBa	m·1+2	a-stem	SAkya+praBa	compound:2_members
SAkyabudDa		m.	SAkyabudDa	m·1+2	a-stem	SAkya+budDa	compound:2_members
SAkyabudDi		m.	SAkyabudDi	m·3+2	i-stem	SAkya+budDi	compound:2_members
SAkyaboDisattva		m.	SAkyaboDisattva	m·1+2	a-stem	SAkya+boDisattva	compound:2_members
SAkyaBikzu		m.	SAkyaBikzu	m·5+2	u-stem	SAkya+Bikzu	compound:2_members
SAkyaBikzukI		f.	SAkyaBikzukI	f·4+2	ī-stem	SAkya+BikzukI	compound:2_members
SAkyamati		m.	SAkyamati	m·3+2	i-stem	SAkya+mati	compound:2_members
SAkyamahAbala		m.	SAkyamahAbala	m·1+2	a-stem	SAkya+mahAbala	compound:2_members
SAkyamitra		m.	SAkyamitra	m·1+2	a-stem	SAkya+mitra	compound:2_members
SAkyamuni		m.	SAkyamuni	m·3+2	i-stem	SAkya+muni	compound:2_members
SAkyavarDa		m.	SAkyavarDa	m·1+2	a-stem	SAkya+varDa	compound:2_members
SAkyaSrI		m.	SAkyaSrI	m·4+2	ī-stem	SAkya+SrI	compound:2_members
SAkyasiMha		m.	SAkyasiMha	m·1+2	a-stem	SAkya+siMha	compound:2_members
SAkyAyanIya		m.	SAkyAyanIya	m·1	a-stem		
SAkra		adj.	SAkra	mfn·1	a-stem		tri_gender_adj
SAkrIya		adj.	SAkrIya	mfn·1	a-stem		tri_gender_adj
SAkvara		adj.	SAkvara/	mfn·1b	a-stem		tri_gender_adj
SAkvaravarRa		n.	SAkvaravarRa	n·1+2	a-stem	SAkvara+varRa	compound:2_members
SAkvarya		n.	SAkva/rya	n·1a	a-stem		
SAKa		m.	SAKa	m·1	a-stem		
SAKaka		adj.	SAKaka	mfn·1	a-stem		tri_gender_adj
SAKAkaRwa		m.	SAKAkaRwa	m·1+2	a-stem	SAKA+kaRwa	compound:2_members
SAKANga		n.	SAKANga	n·1	a-stem		
SAKAda		adj.	SAKAda	mfn·1+2	a-stem	SAKA+da	compound:2_members;tri_gender_adj
SAKAnagara		n.	SAKAnagara	n·1+2	a-stem	SAKA+nagara	compound:2_members
SAKAntara		n.	SAKAntara	n·1	a-stem		
SAKApaSu		m.	SAKApaSu	m·5+2	u-stem	SAKA+paSu	compound:2_members
SAKApitta		m.	SAKApitta	m·1+2	a-stem	SAKA+pitta	compound:2_members
SAKApura		n.	SAKApura	n·1+2	a-stem	SAKA+pura	compound:2_members
SAKAprakfti		f.	SAKAprakfti	f·3+2	i-stem	SAKA+prakfti	compound:2_members
SAKABft		m.	SAKABft	m·8√+2	consonant-stem	SAKA+Bft	compound:2_members
SAKAmfga		m.	SAKAmfga	m·1+2	a-stem	SAKA+mfga	compound:2_members
SAKAraRqa		m.	SAKAraRqa	m·1+2	a-stem	SAKA+raRqa	compound:2_members
SAKAraTyA		f.	SAKAraTyA	f·2+2	ā-stem	SAKA+raTyA	compound:2_members;ā_stem_f(§364)
SAKAla		m.	SAKAla	m·1	a-stem		
SAKAvAta		m.	SAKAvAta	m·1+2	a-stem	SAKA+vAta	compound:2_members
SAKASiPA		f.	SAKASiPA	f·2+2	ā-stem	SAKA+SiPA	compound:2_members;ā_stem_f(§364)
SAKAsTi		n.	SAKAsTi	n·3	i-stem		
SAKi		m.	SAKi	m·3	i-stem		
SAKin		adj.	SAKin	mfn·8i	consonant-stem		tri_gender_adj
SAKila		m.	SAKila	m·1	a-stem		
SAKIya		adj.	SAKIya	mfn·1	a-stem		tri_gender_adj
SAKowa		m.	SAKowa	m·1	a-stem		
SAKya		adj.	SAKya/	mfn·1b	a-stem		tri_gender_adj
SAgali		m.	SAgali	m·3	i-stem		
SAMkara	1	adj.	SAMkara	mfn·1	a-stem		tri_gender_adj
SAMkari		m.	SAMkari	m·3	i-stem		
SANkavya		m.	SANkavya/	m·1b	a-stem		
SANkavyAyanI		f.	SANkavyAyanI/	f·4b	ī-stem		
SANkuka		m.	SANkuka	m·1	a-stem		
SANkupaTika		adj.	SA/NkupaTika	mfn·1a	a-stem		tri_gender_adj
SANkura		adj.	SANkura/	mfn·1b	a-stem		tri_gender_adj
SANKa		adj.	SANKa	mfn·1	a-stem		tri_gender_adj
SANKamitra		m.	SANKamitra	m·1	a-stem		
SANKamitri		m.	SANKamitri	m·3	i-stem		
SANKaliKita		adj.	SANKaliKita	mfn·1	a-stem		tri_gender_adj
SANKAyana		m.	SANKAyana	m·1	a-stem		
SANKAyanya		m.	SANKAyanya/	m·1b	a-stem		
SANKika		m.	SANKika	m·1	a-stem		
SANKina		m.	SANKina/	m·1b	a-stem		
SANKya		adj.	SA/NKya	mfn·1a	a-stem		tri_gender_adj
SAci		m.	SAci	m·3	i-stem		
SAcigu		adj.	SAcigu	mfn·5+2	u-stem	SAci+gu	compound:2_members;tri_gender_adj
SAcipUjana		adj.	SAcipUjana	mfn·1+2	a-stem	SAci+pUjana	compound:2_members;tri_gender_adj
SAwa		m.	SAwa	m·1	a-stem		
SAwaka		m.n.	SAwaka	mn·1	a-stem		m_n_common
SAwya		adj.	SA/wya	mfn·1a	a-stem		tri_gender_adj
SAwyAyana		m.	SAwyAyana	m·1	a-stem		
SAwyAyanaka		n.	SAwyAyanaka	n·1	a-stem		
SAwyAyani		m.	SA/wyAyani	m·3a	i-stem		
SAwyAyanin		m.	SAwyAyani/n	m·8ib	consonant-stem		
SAWara		m.	SAWara	m·1	a-stem		
SAWAyanya		m.	SAWAyanya/	m·1b	a-stem		
SAWya		n.	SAWya	n·1	a-stem		
SAWyavant		adj.	SAWyavant	mfn·8t*	consonant-stem		tri_gender_adj
SARa	1	adj.	SARa/	mfn·1b	a-stem		tri_gender_adj
SARa	2	m.	SARa	m·1	a-stem		
SARa	3	m.	SARa	m·1	a-stem		
SARapAda		m.	SARapAda	m·1+2	a-stem	SARa+pAda	compound:2_members
SARavatya		m.	SARavatya	m·1	a-stem		
SARavAsa		m.	SARavAsa	m·1+2	a-stem	SARa+vAsa	compound:2_members
SARavAsika		m.	SARavAsika	m·1+2	a-stem	SARa+vAsika	compound:2_members
SARAjIva		m.	SARAjIva	m·1	a-stem		
SARi		m.	SARi	m·3	i-stem		
SARika		adj.	SARika	mfn·1	a-stem		tri_gender_adj
SARita		adj.	SARita	mfn·1	a-stem		tri_gender_adj
SARIra		n.	SARIra	n·1	a-stem		
SARqa		m.	SARqa/	m·1b	a-stem		
SARqadUrvA		f.	SARqadUrvA/	f·2b+2	ā-stem	SARqa+dUrvA	compound:2_members;ā_stem_f(§364)
SARqika		m.	SARqika	m·1	a-stem		
SARqikya		adj.	SA/Rqikya	mfn·1a	a-stem		tri_gender_adj
SARqila		adj.	SARqila/	mfn·1b	a-stem		tri_gender_adj
SARqileya		m.	SARqileya	m·1	a-stem		
SARqilya		m.	SA/Rqilya	m·1a	a-stem		
SARqilyalakzmaRa		m.	SARqilyalakzmaRa	m·1+2	a-stem	SARqilya+lakzmaRa	compound:2_members
SARqilyAyana		m.	SARqilyAyana/	m·1b	a-stem		
SARqilyAyanaka		adj.	SA/RqilyAyanaka	mfn·1a	a-stem		tri_gender_adj
SARya		adj.	SARya	mfn·1	a-stem		tri_gender_adj
SAta	1	adj.	SAta	mfn·1	a-stem		tri_gender_adj
SAta	2	m.	SAta	m·1	a-stem		
SAta	3	n.	SAta	n·1	a-stem		
SAtaka		m.	SAtaka	m·1	a-stem		
SAtakarRi		m.	SAtakarRi	m·3	i-stem		
SAtakumBa		n.	SAtakumBa	n·1+2	a-stem	SAta+kumBa	compound:2_members
SAtakumBamaya		adj.	SAtakumBamaya	mfn·1+3	a-stem	SAta+kumBa+maya	compound:3_members;tri_gender_adj
SAtakOmBa		adj.	SAtakOmBa	mfn·1+2	a-stem	SAta+kOmBa	compound:2_members;tri_gender_adj
SAtakOmBamaya		adj.	SAtakOmBamaya	mfn·1+3	a-stem	SAta+kOmBa+maya	compound:3_members;tri_gender_adj
SAtadvAreya		m.	SAtadvAreya/	m·1b+2	a-stem	SAta+dvAreya	compound:2_members
SAtana		adj.	SAtana	mfn·1	a-stem		tri_gender_adj
SAtapata		adj.	SAtapata/	mfn·1b+2	a-stem	SAta+pata	compound:2_members;tri_gender_adj
SAtapattraka		m.	SAtapattraka	m·1+2	a-stem	SAta+pattraka	compound:2_members
SAtapaTa		adj.	SAtapaTa/	mfn·1b+2	a-stem	SAta+paTa	compound:2_members;tri_gender_adj
SAtapaTika		m.	SAtapaTika	m·1+2	a-stem	SAta+paTika	compound:2_members
SAtaparReya		m.	SAtaparReya/	m·1b+2	a-stem	SAta+parReya	compound:2_members
SAtaputraka		n.	SA/taputraka	n·1a+2	a-stem	SAta+putraka	compound:2_members
SAtaBiza		adj.	SAtaBiza/	mfn·1b+2	a-stem	SAta+Biza	compound:2_members;tri_gender_adj
SAtaBizaja		adj.	SAtaBizaja/	mfn·1b+2	a-stem	SAta+Bizaja	compound:2_members;tri_gender_adj
SAtamanyava		adj.	SAtamanyava	mfn·1+2	a-stem	SAta+manyava	compound:2_members;tri_gender_adj
SAtamAna		adj.	SAtamAna/	mfn·1b+2	a-stem	SAta+mAna	compound:2_members;tri_gender_adj
SAtaya		m.	SAtaya	m·1	a-stem		
SAtarAtrika		adj.	SAtarAtrika	mfn·1+2	a-stem	SAta+rAtrika	compound:2_members;tri_gender_adj
SAtaleya		m.	SAtaleya/	m·1b	a-stem		
SAtavaneya		m.	SAtavaneya/	m·1b+2	a-stem	SAta+vaneya	compound:2_members
SAtaSUrya		m.	SAtaSUrya	m·1	a-stem		
SAtaSfNgin		m.	SAtaSfNgin	m·8i+2	consonant-stem	SAta+SfNgin	compound:2_members
SAtahrada		adj.	SAtahrada	mfn·1+2	a-stem	SAta+hrada	compound:2_members;tri_gender_adj
SAtAtapa		m.	SAtAtapa	m·1	a-stem		
SAtAhara		m.	SAtAhara	m·1	a-stem		
SAtAhareya		m.	SAtAhareya	m·1	a-stem		
SAtrava		adj.	SAtrava/	mfn·1b	a-stem		tri_gender_adj
SAtruMtapi		m.	SAtruMtapi	m·3	i-stem		
SAtruMtapIya		m.	SAtruMtapI/ya	m·1a	a-stem		
SAdana		n.	SAdana	n·1	a-stem		
SAdvala		adj.	SAdvala/	mfn·1b	a-stem		tri_gender_adj
SAdvalavant		adj.	SAdvalavant	mfn·8t*	consonant-stem		tri_gender_adj
SAdvalABa		m.	SAdvalABa	m·1	a-stem		
SAdvalita		n.	SAdvalita	n·1	a-stem		
SAdvalin		adj.	SAdvalin	mfn·8i	consonant-stem		tri_gender_adj
SADi		f.	SADi	f·3	i-stem		
SAna		m.	SAna	m·1	a-stem		
SAni		f.	SAni	f·3	i-stem		
SAnila		m.	SAnila	m·1	a-stem		
SAnEScara		adj.	SAnEScara	mfn·1	a-stem		tri_gender_adj
SAnta	1	adj.	SAnta	mfn·1	a-stem		tri_gender_adj
SAnta	2	adj.	SAnta	mfn·1	a-stem		tri_gender_adj
SAntaka		adj.	SAntaka	mfn·1	a-stem		tri_gender_adj
SAntakarRa		m.	SAntakarRa	m·1+2	a-stem	SAnta+karRa	compound:2_members
SAntaguRa		adj.	SAntaguRa	mfn·1+2	a-stem	SAnta+guRa	compound:2_members;tri_gender_adj
SAntatA		f.	SAntatA	f·2+2	ā-stem	SAnta+tA	compound:2_members;ā_stem_f(§364)
SAntatva		n.	SAntatva	n·1+2	a-stem	SAnta+tva	compound:2_members
SAMtanava		adj.	SAMtanava	mfn·1	a-stem		tri_gender_adj
SAntapura		n.	SAntapura	n·1+2	a-stem	SAnta+pura	compound:2_members
SAntamati		m.	SAntamati	m·3+2	i-stem	SAnta+mati	compound:2_members
SAntaraya		m.	SAntaraya	m·1+2	a-stem	SAnta+raya	compound:2_members
SAntarasanAwaka		n.	SAntarasanAwaka	n·1+3	a-stem	SAnta+rasa+nAwaka	compound:3_members
SAntarUpa		adj.	SAntarUpa	mfn·1+2	a-stem	SAnta+rUpa	compound:2_members;tri_gender_adj
SAntaSrI		m.	SAntaSrI	m·4+2	ī-stem	SAnta+SrI	compound:2_members
SAntasumati		m.	SAntasumati	m·3+2	i-stem	SAnta+sumati	compound:2_members
